name,info,lon,lat,show
Somaliland,0,44.05,9.55,TRUE
Western_Sahara,0,-13.203333,27.153611,TRUE
Algeria,0,3.05,36.75,TRUE
Angola,1,13.216667,-8.833333333,TRUE
Benin,1,2.616667,6.483333333,TRUE
Botswana,0,25.9,-24.63333333,TRUE
Burkina_Faso,1,-1.516667,12.36666667,TRUE
Burundi,1,29.35,-3.366666667,TRUE
Cameroon,1,11.516667,3.866666667,TRUE
Cape_Verde,1,-23.516667,14.91666667,TRUE
Central_African_Republic,1,18.583333,4.366666667,TRUE
Chad,1,15.033333,12.1,TRUE
Comoros,0,43.233333,-11.7,TRUE
Democratic_Republic_of_the_Congo,1,15.3,-4.316666667,TRUE
Republic_of_Congo,1,15.283333,-4.25,TRUE
Cote_Ivoire,1,-5.266667,6.816666667,TRUE
Djibouti,0,43.15,11.58333333,TRUE
Egypt,0,31.25,30.05,TRUE
Equatorial_Guinea,1,8.783333,3.75,TRUE
Eritrea,0,38.933333,15.33333333,TRUE
Ethiopia,0,38.7,9.033333333,TRUE
Gabon,1,9.45,0.383333333,TRUE
Gambia,1,-16.566667,13.45,TRUE
Ghana,1,-0.216667,5.55,TRUE
Guinea,1,-13.7,9.5,TRUE
Guinea_Bissau,0,-15.583333,11.85,TRUE
Kenya,1,36.816667,-1.283333333,TRUE
Lesotho,0,27.483333,-29.31666667,TRUE
Liberia,1,-10.8,6.3,TRUE
Libya,0,13.166667,32.88333333,TRUE
Madagascar,0,47.516667,-18.91666667,TRUE
Malawi,0,33.783333,-13.96666667,TRUE
Mali,1,-8,12.65,TRUE
Mauritania,0,-15.966667,18.06666667,TRUE
Mauritius,0,57.483333,-20.15,TRUE
Morocco,0,-6.816667,34.01666667,TRUE
Mozambique,0,32.583333,-25.95,TRUE
Namibia,0,17.083333,-22.56666667,TRUE
Niger,1,2.116667,13.51666667,TRUE
Nigeria,1,7.533333,9.083333333,TRUE
Rwanda,1,30.05,-1.95,TRUE
Saint_Helena,0,-5.716667,-15.93333333,TRUE
Sao_Tome_and_Principe,0,6.733333,0.333333333,TRUE
Senegal,1,-17.633333,14.73333333,TRUE
Seychelles,0,55.45,-4.616666667,TRUE
Sierra_Leone,1,-13.233333,8.483333333,TRUE
Somalia,0,45.333333,2.066666667,TRUE
South_Africa,0,28.216667,-25.7,TRUE
South_Sudan,1,31.616667,4.85,TRUE
Sudan,1,32.533333,15.6,TRUE
Swaziland,0,31.133333,-26.31666667,TRUE
Tanzania,1,39.283333,-6.8,TRUE
Togo,1,1.216667,6.116666667,TRUE
Tunisia,0,10.183333,36.8,TRUE
Uganda,1,32.55,0.316666667,TRUE
Zambia,0,28.283333,-15.41666667,TRUE
Zimbabwe,0,31.033333,-17.81666667,TRUE
